Driver Name,Entrant,RS(Starts),W(Win),PD(Podiums),PP(Poles),FL(Fastest Laps),BR(Best Finish),BG(Best Grid),AF(AVG. Finish),AG(AVG. Grid),DNF(Retirements),P(Points),WC(World Champion)
Amaury Cordeel,Hitech Pulse-Eight,22,0,0,1,0,4,1,12.35,14.38,5,29,18th
Andrea Kimi Antonelli,Prema Racing,22,2,3,1,4,1,1,8.43,7.62,1,113,6th
Christian Mansell,Trident,2,0,0,1,0,8,1,9,5.5,0,2,25th
Dennis Hauger,MP Motorsport,22,0,3,2,2,2,1,7.78,7.21,4,85.5,9th
Enzo Fittipaldi,Van Amersfoort Racing,22,1,1,1,2,1,1,11.58,11.67,3,61,13th
Franco Colapinto,MP Motorsport,18,1,3,0,3,1,2,7.73,8.45,2,96,7th
Gabriel Bortoleto,Invicta Racing,22,2,5,2,2,1,1,5.45,7.54,2,169.5,1st
Gabriele Minì,Prema Racing,2,0,1,0,0,3,3,3,5.5,1,6,23rd
Isack Hadjar,Campos Racing,22,4,7,1,0,1,1,6.78,6.96,4,165,2nd
Jak Crawford,DAMS Lucas Oil,22,1,5,1,1,1,1,6.95,11.83,2,116,5th
Joshua Dürksen,PHM AIX Racing,22,1,3,0,0,1,2,10.94,13,4,61,12th
Juan Manuel Correa,DAMS Lucas Oil,22,0,1,0,0,3,3,12.47,15.71,3,31,17th
Kush Maini,Invicta Racing,22,1,4,3,1,1,1,9.9,10.04,1,74,11th
Luke Browning,ART Grand Prix,2,0,0,0,0,7,11,9,11,0,4,24th
Niels Koolen,PHM AIX Racing,4,0,0,0,0,19,21,19.33,21.5,1,0,27th
Oliver Goethe,MP Motorsport,4,0,0,0,0,16,11,18.5,14.25,2,0,26th
Ollie Bearman,Prema Racing,19,2,2,0,0,1,2,10.12,11.5,3,50,15th
Paul Aron,Hitech Pulse-Eight,22,0,6,4,1,2,1,7.21,7.38,4,133,4th
Pepe Martí,Campos Racing,22,0,3,0,0,2,3,10.6,13.46,7,43,16th
Rafael Villagómez,Van Amersfoort Racing,22,0,0,0,0,7,14,14.16,17.96,3,13,22nd
Richard Verschoor,Trident,22,1,4,3,1,1,1,10.11,10.96,3,81,10th
Ritomo Miyata,Rodin Motorsport,22,0,0,0,2,5,4,12.45,14.75,2,29,19th
Roman Stanek,Trident,20,0,0,1,0,6,1,15.53,15.77,3,14,21st
Taylor Barnard,PHM AIX Racing,18,1,1,1,0,1,1,12.27,13.85,2,18,20th
Victor Martins,ART Grand Prix,22,1,5,0,2,1,2,6.88,10.04,5,93,8th
Zak O'Sullivan,ART Grand Prix,20,2,2,1,1,1,1,9.25,12.23,4,59,14th
Zane Maloney,Rodin Motorsport,22,2,7,1,0,1,1,7.32,9.04,3,135,3rd